POWER
Capacity:,12298.9198494 uAH
Average:,47.4202646877 mA

RUN
start(ms),duration(ms)
17717.407000000003,44202.942
309341.278,1043.091
950184.906,1541

IRQ
name,mean,max,min,count,sum,std
dwc_otg_pcd,0.457,32.195999999999998,0.0,104,47.515999999999998,3.2619145077572407
zx29dma,0.004,0.031,0.0,675,2.903,0.010628260693887268
dwc_otg_powerdown_up,7.644,7.6600000000000001,7.6289999999999996,2,15.289,0.015500000000000291
icp_ps,0.006,0.031,0.0,5,0.031,0.012400000000000001
zx29_i2c.0,0.010,0.031,0.0,48,0.45899999999999996,0.014186123281220984
wake_timer,0.003,0.091999999999999998,0.0,1378,4.3049999999999997,0.0094733519813239245
dwc_otg_powerdown down,5.264,6.5,4.0279999999999996,2,10.527999999999999,1.2360000000000002

Wakesource
name,mean,max,min,count,sum,std
zx29-i2c,0.681,14.923,0.122,32,21.785999999999998,2.565565123387779
usbcfgmng_lock,124.664,124.664,124.664,1,124.664,0.0
icp_msg,1000.743,1002.961,999.48199999999997,3,3002.2289999999998,1.5732656058869225
wakeup_irq,1174.876,1516.0519999999999,999.45100000000002,3,3524.6279999999997,241.28018816443807
dwc_otg_pm,1094.177,2002.838,199.70699999999999,3,3282.5310000000336,736.19353848065407
rtc_lock,0.244,0.24399999999999999,0.24399999999999999,1,0.24399999999999999,0.0

Frequency
start,freq
29841.522,312000
61859.894,624000
309365.387,312000
310324.127,624000
950204.895,312000
950318.3289999999,624000
950892.6390000001,312000
